method,delta,n_sims,true_att,mean_estimate,bias,rmse,coverage,rejection_rate,se_fallback_rate,test_type
Matrix Completion,0,200,0,0.008139337771239439,0.008139337771239439,0.026081521210796467,0.99,0.005,0,Size
Matrix Completion,0.2,200,0.020924445892254517,0.030408568540470207,0.009484122648215692,0.027714393988198412,0.985,0.025,0,Power
Matrix Completion,0.4,200,0.0439807140192861,0.056793183925085595,0.012812469905799494,0.032742140169560625,0.98,0.13,0,Power
Matrix Completion,0.6,200,0.06915333083663786,0.08490856854047021,0.015755237703832362,0.038075214753614695,0.975,0.395,0,Power
Matrix Completion,0.8,200,0.09637710536620979,0.11294703007893175,0.016569924712721965,0.04248629245558176,0.945,0.655,0,Power
SynthDiD,0,200,0,0.008062919132747077,0.008062919132747077,0.03576759946332246,0.855,0.145,0,Size
SynthDiD,0.2,200,0.020924445892254517,0.03033214990197785,0.009407704009723333,0.03537976113212314,0.875,0.23,0,Power
SynthDiD,0.4,200,0.0439807140192861,0.05671676528659324,0.01273605126730714,0.03992922036432727,0.84,0.5,0,Power
SynthDiD,0.6,200,0.06915333083663786,0.08483214990197786,0.01567881906534,0.04562372052885872,0.785,0.77,0,Power
SynthDiD,0.8,200,0.09637710536620979,0.1128706114404394,0.016493506074229607,0.04977549659287443,0.735,0.905,0,Power
TWFE,0,200,0,0.008299642218246596,0.008299642218246596,0.02591876304846468,1,0,0,Size
TWFE,0.2,200,0.020924445892254517,0.03056887298747679,0.009644427095222275,0.027705969371699002,0.99,0.025,0,Power
TWFE,0.4,200,0.0439807140192861,0.056953488372091424,0.01297277435280532,0.032794336027511216,0.98,0.105,0,Power
TWFE,0.6,200,0.06915333083663786,0.08506887298747529,0.015915542150837424,0.0381084887743277,0.975,0.34,0,Power
TWFE,0.8,200,0.09637710536620979,0.11310733452593594,0.016730229159726145,0.04248896362061253,0.955,0.58,0,Power
